,videoId,title,tags,viewCount,likeCount,dislikeCount,commentCount,duration,channelId,date
42,j6vKLJxAKfw,Linux/Mac Terminal Tutorial: Navigating your Filesystem,"['Terminal', 'Command Line', 'Command-Line', 'Command-line Interface (Computing Platform)', 'Terminal Basics', 'Terminal for Beginners', 'Terminal Tutorial', 'Command Line Basics', 'Command Line for Beginners', 'Command Line Tutorial', 'Mac Terminal', 'Linux', 'Linux Terminal', 'File System (Software Genre)', 'Mac OS (Operating System)', 'Programming Tutorials', 'SysAdmin', 'Sys Admin', 'Systems Administration', 'How to', 'How-to', 'mac terminal tutorial', 'terminal tutorial mac', 'mac']",111710,1501,8,39,PT8M34S,UCCezIgC97PvUuR4_gbFUs5g,2015-10-21T15:30:00Z
43,tJxcKyFMTGo,Python Tutorial: OS Module - Use Underlying Operating System Functionality,"['Python', 'os', 'os module', 'Python os', 'Python os module', 'import os', 'Python import os', 'Python Tutorial', 'Python Tutorials', 'os tutorial', 'os module tutorial', 'Python os tutorial', 'Python os module tutorial', 'Learn Python', 'Python Standard Library', 'Python Built In', 'Python Built-In', 'Python for Beginners', 'Programming Tutorials', 'Software Engineering', 'Python Path', 'Python os.path', 'os.path', 'os path', 'Python os path', 'os path module', 'os.path module']",585861,11193,96,563,PT19M14S,UCCezIgC97PvUuR4_gbFUs5g,2016-04-06T16:30:01Z
44,mO_dS3rXDIs,"Python Quick Tip: The Difference Between ""=="" and ""is"" (Equality vs Identity)","['python', 'python ==', 'python is', 'python == vs is', 'python equality', 'python identity', 'python tutorial', '== vs is', 'python quick tip', 'corey schafer', 'python operators']",74821,2847,35,191,PT8M51S,UCCezIgC97PvUuR4_gbFUs5g,2019-08-06T16:00:07Z
45,KlBPCzcQNU8,Python Tutorial: Decorators With Arguments,"['Python', 'Decorator', 'Decorators', 'Python Decorator', 'Python Decorators', 'Python Functions', 'Functions', 'Advanced Python', 'Python Tutorial', 'Python Tutorials', 'Learn Python', 'Python for Beginners', 'Closure', 'Closures', 'Programming Tutorials', 'Software Engineering']",58000,1666,5,91,PT6M13S,UCCezIgC97PvUuR4_gbFUs5g,2017-03-27T16:30:00Z
46,-aKFBoZpiqA,Python Tutorial: Context Managers - Efficiently Managing Resources,"['python', 'context managers', 'context manager', 'python context manager', 'with', 'with statement', 'python with', 'python context', 'contextlib', 'contextmanager', 'python tutorial', 'context manager tutorial', '__enter__', '__exit__', 'corey schafer', 'python 3.6', 'python 3']",105673,3762,16,131,PT20M37S,UCCezIgC97PvUuR4_gbFUs5g,2017-12-20T18:00:00Z
47,Dh-0lAyc3Bc,Python Tutorial: Else Clauses on Loops,"['Python', 'Python Tutorials', 'Python Tutorial', 'Python else', 'Python Loops', 'Else Loop', 'Python For Else', 'Python While Else', 'For Else', 'While Else', 'Programming', 'Programming Tutorials', 'Computer Science', 'Programming Language', 'How to', 'How-to', 'Software', 'Software Engineering', 'Control Flow', 'Python Control Flow', 'Python (Programming Language)', 'Development', 'Technology']",33169,1011,9,40,PT7M4S,UCCezIgC97PvUuR4_gbFUs5g,2015-07-09T17:30:01Z
48,YJC6ldI3hWk,Python Tutorial: Anaconda - Installation and Using Conda,"['Python', 'Anaconda', 'Continuum', 'Python Tutorial', 'Python Anaconda', 'Anaconda Install', 'Conda', 'How to use conda', 'Conda Package Manager', 'Continuum Analytics', 'Data Science', 'Jupyter', 'Jupyter Notebook', 'Python Data Science', 'Python Conda', 'Python for Beginners', 'Programming Tutorials', 'Python Tutorials', 'Software Engineering', 'How to', 'How-to']",913376,8386,232,296,PT11M25S,UCCezIgC97PvUuR4_gbFUs5g,2016-08-10T16:30:04Z
49,4glHQglQrU8,Mac Tip: Adding Folder Stacks to the Dock,"['Mac', 'OS X', 'OSX', 'Mac Tips', 'Mac Tips and Tricks', 'Mac Tips & Tricks', 'Mac Apps', 'Mac Applications', 'Mac OS', 'Apple', 'Macintosh', 'Video Tutorial', 'How-to', 'How to', 'Dock', 'Mac Dock', 'Folder', 'Mac Folders', 'Stack', 'Folder Stack', 'Dock Stack', 'Dock Folder']",20017,166,5,19,PT2M49S,UCCezIgC97PvUuR4_gbFUs5g,2014-12-22T21:57:32Z
50,a48xeeo5Vnk,Python Django Tutorial: Full-Featured Web App Part 2 - Applications and Routes,"['python', 'django', 'django 2', 'django 2.0', 'django 2.1', 'django version 2', 'python django 2', 'django tutorial', 'python django tutorial', 'django application', 'startapp', 'manage.py', 'django routes', 'django urls', 'django views', 'django routing', 'corey schafer', 'django tutorial for beginners', 'python programming']",556541,15446,70,727,PT20M27S,UCCezIgC97PvUuR4_gbFUs5g,2018-08-31T18:15:01Z
51,ajrtAuDg3yw,Python Tutorial: Slicing Lists and Strings,"['Python (Programming Language)', 'Array Slicing', 'List', 'String', 'Programming Language (Software Genre)', 'Python Slicing', 'Python Slice Array', 'Python Slice String', 'Python String', 'Substring', 'Python Substring', 'Python Tutorials', 'Python for Beginners', 'Learn Python', 'Programming', 'Programming Tutorials', 'Computer Science', 'Software Engineering', 'Python List', 'Python Slice List']",243465,4547,28,204,PT10M44S,UCCezIgC97PvUuR4_gbFUs5g,2015-10-29T15:30:01Z
52,TtIJEQ6D9DE,5 Essential Skills Every Well-Rounded Programmer Should Know,"['programming', 'python', 'javascript', 'java', 'developer', 'programming skills', 'git', 'sql', 'database', 'databases', 'unit testing', 'jenkins', 'travisci', 'software engineering', 'programming job', 'programming interview', 'software engineering interview', 'corey schafer', 'programmer', 'skills', 'essential skills']",199332,7291,95,185,PT11M4S,UCCezIgC97PvUuR4_gbFUs5g,2017-09-19T16:30:00Z
53,q5uM4VKywbA,"Python Tutorial: CSV Module - How to Read, Parse, and Write CSV Files","['python', 'python tutorial', 'python csv', 'csv module', 'csv file', 'csv files', 'comma-separated values', 'comma separated values', 'csv', 'python for beginners', 'corey schafer', 'python (programming language)', 'python 3', 'python 3.6', 'python programming', 'python comma-separated values', 'parse csv', 'read csv', 'write csv', 'python parsing', 'python basics', 'python csv module']",719019,12259,126,616,PT16M12S,UCCezIgC97PvUuR4_gbFUs5g,2017-08-09T16:00:06Z
